Label	Parent
A rdfs:label	SC %
Evaluation Metrics	
Statistical Method	Evaluation Metrics
Parameters	
Physiologically Based Pharmacokinetic Modeling	
Whole body PBPK Model	Physiologically Based Pharmacokinetic Modeling
Perfusion Limited Model	Physiologically Based Pharmacokinetic Modeling
Physiological Parameters	Parameters
Body Mass Index 	Physiological Parameters
BW (Kg)	Physiological Parameters
HT	Physiological Parameters
Surface area	Physiological Parameters
Race	Physiological Parameters
Blood flow	Physiological Parameters
Cardiac Output	Blood flow
Qstomach	Blood flow
FQstomach	Blood flow
Qintestine	Blood flow
FQintestine	Blood flow
Qsmall intestine	Blood flow
FQsmall intestine	Blood flow
Qlarge intestine	Blood flow
FQlarge intestine	Blood flow
Qpancreas	Blood flow
FQpancreas	Blood flow
Qliver	Blood flow
FQliver	Blood flow
Qkidney	Blood flow
FQkidney	Blood flow
Qmuscle	Blood flow
FQmuscle	Blood flow
Qheart	Blood flow
FQheart	Blood flow
Qfat	Blood flow
FQfat	Blood flow
Qgonads	Blood flow
FQgonads	Blood flow
Qskin	Blood flow
FQskin	Blood flow
Qbone	Blood flow
FQbone	Blood flow
Qbrain	Blood flow
FQbrain	Blood flow
Qspleen	Blood flow
FQspleen	Blood flow
Qlung	Blood flow
FQlung	Blood flow
Qpoorly perfused	Blood flow
FQpoorly perfused	Blood flow
Qrichly perfused	Blood flow
FQrichly perfused	Blood flow
Qrestbody	Blood flow
FQrestbody	Blood flow
Qgallballder	Blood flow
FQgallballder	Blood flow
Qportal vein	Blood flow
FQportal vein	Blood flow
Qlymph	Blood flow
FQlymph	Blood flow
Qmetab	Blood flow
Qexcret	Blood flow
Qair	Blood flow
scFBlood	Physiological Parameters
FSkin_e	Volume of organ
FSkin_u	Volume of organ
Arterial blood flow	Blood flow
Venous blood flow	Blood flow
Glomerular filtration rate	Blood flow
Volume of organ	Physiological Parameters
Vstomach	Volume of organ
Fstomach	Volume of organ
Vintestine	Volume of organ
Fintestine	Volume of organ
Vsmall intestine	Volume of organ
Fsmall intestine	Volume of organ
Vlarge intestine	Volume of organ
Flarge intestine	Volume of organ
Vpancreas	Volume of organ
Fpancreas	Volume of organ
Vliver	Volume of organ
Fliver	Volume of organ
Vkidney	Volume of organ
Fkidney	Volume of organ
Vmuscle	Volume of organ
Fmuscle	Volume of organ
Vheart	Volume of organ
Fheart	Volume of organ
Vfat	Volume of organ
Ffat	Volume of organ
Vgonads	Volume of organ
Fgonads	Volume of organ
Vskin	Volume of organ
Fskin	Volume of organ
Vbone	Volume of organ
Fbone	Volume of organ
Vbrain	Volume of organ
Fbrain	Volume of organ
Vspleen	Volume of organ
Fspleen	Volume of organ
Vlung	Volume of organ
Flung	Volume of organ
Vpoorly perfused	Volume of organ
Fpoorly perfused	Volume of organ
Vrichly perfused	Volume of organ
Frichly perfused	Volume of organ
Vplasma	Volume of organ
Fplasma	Volume of organ
Vrestbody	Volume of organ
Frestbody	Volume of organ
scVBlood	Physiological Parameters
Vblood	Volume of organ
VSkin_e	Volume of organ
fSA_exposed	Surface area
VSkin_u	Volume of organ
VSkin_sc_e	Volume of organ
VSkin_sc_u	Volume of organ
Falv	Volume of organ
vgallbaldder	Volume of organ
Fgallbladder	Volume of organ
vportal vein	Volume of organ
Fportal vein	Volume of organ
vlymph	Volume of organ
Flymph	Volume of organ
Arterial volume	Volume of organ
venous volume	Volume of organ
Sex	Physiological Parameters
Male	Sex
Female	Sex
Physicochemical Parameters	Parameters
Molecular weight	Physicochemical Parameters
Lipophillicity	Physicochemical Parameters
Distribution coefficients	Physicochemical Parameters
Log P	Physicochemical Parameters
Log S	Physicochemical Parameters
Water solubility	Physicochemical Parameters
pka (strongest acidic)	Physicochemical Parameters
pkb (strongest basic)	Physicochemical Parameters
physiological charge	Physicochemical Parameters
Hydrogen acceptor count	Physicochemical Parameters
Hydrogen donor count	Physicochemical Parameters
rotable bond count	Physicochemical Parameters
Biochemical Parameters	Parameters
Absorption	Biological process
Absorption rate constant gut	Biochemical Parameters
Absorption rate constant intestine	Biochemical Parameters
Gastric emptying	Biochemical Parameters
Enterohepatic recirculation	Biochemical Parameters
Specific Intestinal Permeability	Biochemical Parameters
Distribution	Biological process
Volume of distribution	Biochemical Parameters
Protein Binding	Biochemical Parameters
Unbound fraction	Biochemical Parameters
fugut	Unbound fraction
fustomach	Unbound fraction
fuintestine	Unbound fraction
fupancreas	Unbound fraction
fuliver	Unbound fraction
fukidney	Unbound fraction
fumuscle	Unbound fraction
fuheart	Unbound fraction
fufat	Unbound fraction
fugonads	Unbound fraction
fuskin	Unbound fraction
fubone	Unbound fraction
fuspleen	Unbound fraction
fulung	Unbound fraction
fuenterocytes	Unbound fraction
Partition coefficient	Biochemical Parameters
gut:plasma	Partition coefficient
Stomach:Plasma	Partition coefficient
Intestine:Plasma	Partition coefficient
Pancreas:Plasma	Partition coefficient
Liver:Plasma	Partition coefficient
Kidney: Plasma	Partition coefficient
Muscle:Plasma	Partition coefficient
Heart:Plasma	Partition coefficient
Fat:Plasma	Partition coefficient
Gonads:Plasma	Partition coefficient
Skin:Plasma	Partition coefficient
Bone:Plasma	Partition coefficient
Spleen:Plasma	Partition coefficient
Lung:plasma	Partition coefficient
