ID	Label	Exact Match	Synonyms	Suggested parent term	Abbreviation	Definition	Textual Definition	Definition Source	See Also	Editor	Reviewer1	Reviewer2	Type	Parent	Close Match	Exact Match	Narrow Match	Related Match
ID	A rdfs:label	A skos:exactMatch  SPLIT=|			A obo:IAO_0000111		A definition	>A definition source	>AI rdfs:seeAlso	A term editor	A term editor	A term editor	TYPE	SC %	A skos:closeMatch	A skos:exactMatch	A skos:narrowMatch SPLIT=|	A skos:relatedMatch SPLIT=|
pbpko:PBPKO_00000	Evaluation Metrics						Evaluation of PBPK models.			0000-0001-8345-1349	0000-0002-9795-5967		Class					
pbpko:PBPKO_00001	Statistical Method						Statistical method to evaluate PBPK model.			0000-0001-8345-1349	0000-0002-9795-5967		Class	Evaluation Metrics				
pbpko:PBPKO_00002	Parameters						Different types of parameters involved in PBPK modelling.			0000-0001-8345-1349	0000-0002-9795-5967		Class					
pbpko:PBPKO_00003	Physiologically Based Pharmacokinetic Modeling	http://scai.fraunhofer.de/HuPSON#SCAIVPH_00000609	PBPK Simulation	PK	PBPK	"Physiologically based pharmacokinetic (PBPK) modeling is a mathematical modeling technique that predicts the absorption, distribution, metabolism, and excretion (ADME) of synthetic or natural chemical substances in humans and other animal species"	"Physiologically based pharmacokinetic (PBPK) modeling is a mathematical modeling technique that predicts the absorption, distribution, metabolism, and excretion (ADME) of synthetic or natural chemical substances in humans and other animal species"	10.1038/psp.2013.41		0000-0001-8345-1349	0000-0002-9795-5967		Class			http://scai.fraunhofer.de/HuPSON#SCAIVPH_00000609		
pbpko:PBPKO_00004	Whole body PBPK Model			PK	All organs PBPK	"A whole-body PBPK model contains an explicit representation of the organs that are most relevant to the absorption, distribution, excretion, and metabolization of the drug/chemicals due to their physiological/pharmacological function or their volume"	"A whole-body PBPK model contains an explicit representation of the organs that are most relevant to the absorption, distribution, excretion, and metabolization of the drug/chemicals due to their physiological/pharmacological function or their volume"	10.1002/psp4.12134		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physiologically Based Pharmacokinetic Modeling				
pbpko:PBPKO_00005	Perfusion Limited Model		Blood Flow-Limited Model/Diffusion-Limited Model	PK		"Perfusion-limited models are a type of physiologically based pharmacokinetic (PBPK) model that assumes that the concentration of a substance in tissues reaches equilibrium with the substance in the circulation rapidly. In perfusion-limited models, the rate of drug uptake by tissues is limited by blood flow, and the rate of drug elimination is limited by the rate of diffusion from the tissue to the blood"	"Perfusion-limited models are a type of physiologically based pharmacokinetic (PBPK) model that assumes that the concentration of a substance in tissues reaches equilibrium with the substance in the circulation rapidly. In perfusion-limited models, the rate of drug uptake by tissues is limited by blood flow, and the rate of drug elimination is limited by the rate of diffusion from the tissue to the blood"	"https://doi.org/10.3390/nano10071267
"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physiologically Based Pharmacokinetic Modeling	http://scai.fraunhofer.de/HuPSON#SCAIVPH_00000591			
pbpko:PBPKO_00006	Physiological Parameters	http://scai.fraunhofer.de/HuPSON#SCAIVPH_00000457	Physiological variables	Physiology		"Physiological parameters in PBPK modeling provide the structural framework of the model and are used to simulate the absorption, distribution, metabolism, and excretion (ADME) of a substance throughout the body. These parameters include body weight, height, organ volume, cardiac output, organ blood flow, and tissue composition."	"Physiological parameters in PBPK modeling provide the structural framework of the model and are used to simulate the absorption, distribution, metabolism, and excretion (ADME) of a substance throughout the body. These parameters include body weight, height, organ volume, cardiac output, organ blood flow, and tissue composition."	10.3390/ijerph20043473		0000-0001-8345-1349	0000-0002-9795-5967		Class	Parameters		http://scai.fraunhofer.de/HuPSON#SCAIVPH_00000457		
pbpko:PBPKO_00007	Body Mass Index 	http://purl.bioontology.org/ontology/MESH/D015992	"Body Mass Index
Quetelet Index
body mass index
BMI"	Physicochemical Parameter	BMI	"A general indicator of the body fat an individual is carrying based upon the ratio of weight to height.
A measure that relates body weight to height. BMI is sometimes used to measure total body fat and whether a person is a healthy weight."	An individual's weight in kilograms divided by the square of the height in meters.	http://purl.obolibrary.org/obo/NCIT_C16358		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physiological Parameters		http://purl.bioontology.org/ontology/MESH/D015992		
pbpko:PBPKO_00008	BW (Kg)	http://purl.bioontology.org/ontology/MESH/D001835	"Weights, Body"	Physicochemical Parameter	BW	The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.	 Mass or quantity of heaviness of an individual. 	http://purl.bioontology.org/ontology/MESH/D001835		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physiological Parameters		http://purl.bioontology.org/ontology/MESH/D001835		
pbpko:PBPKO_00009	HT	http://purl.bioontology.org/ontology/MESH/D001827	human height	Physicochemical Parameter	HT	Height is a term used to describe the distance from the bottom to the top of someone or something standing upright	Height is a term used to describe the distance from the bottom to the top of someone or something standing upright	Height Definition & Meaning - Merriam-Webster		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physiological Parameters		http://purl.bioontology.org/ontology/MESH/D001827		
pbpko:PBPKO_00010	Surface area	http://purl.bioontology.org/ontology/MESH/D001830	"Body surface area/Areas, Body Surface"	Physicochemical Parameter	BSA/SA	The surface area of a is a measure of the total area that the surface of the object occupies.	" A measure of  total area i.e., surface of  object occupies. or
The two dimensional measure of the outer layer of the body."	"http://semanticscience.org/resource/SIO_001407

http://purl.bioontology.org/ontology/MESH/D001830"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physiological Parameters		http://purl.bioontology.org/ontology/MESH/D001830		
